date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:42	92/92	---M-Z	200	added ('OK')	text/plain	etag:%22092fa9a7b3a451ac8c863c46e50db302%22	https://wearestokt.com/robots.txt		(from )
13:36:43	1053933/1053933	---M-Z	200	added ('OK')	text/html	etag:%22c7ac9c04e612a0a1e396a9c3a348522d%22	https://wearestokt.com/	./wearestokt-mirror/wearestokt.com/index.html	(from )
13:36:44	20624/20624	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Sep%202025%2018:34:21%20GMT	https://fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ09DdVXQQ.woff2	./wearestokt-mirror/fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ09DdVXQQ.woff2	(from https://wearestokt.com/)
13:36:46	6448/6448	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Sep%202025%2018:38:20%20GMT	https://fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ09ndVXQQ.woff2	./wearestokt-mirror/fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ09ndVXQQ.woff2	(from https://wearestokt.com/)
13:36:47	5088/5088	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Sep%202025%2018:27:20%20GMT	https://fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ09HdVXQQ.woff2	./wearestokt-mirror/fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ09HdVXQQ.woff2	(from https://wearestokt.com/)
13:36:48	6640/6640	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Sep%202025%2018:32:53%20GMT	https://fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ097dVXQQ.woff2	./wearestokt-mirror/fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ097dVXQQ.woff2	(from https://wearestokt.com/)
13:36:48	3780/3780	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Sep%202025%2018:27:25%20GMT	https://fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ09LdVXQQ.woff2	./wearestokt-mirror/fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ09LdVXQQ.woff2	(from https://wearestokt.com/)
13:36:51	52032/52032	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Sep%202025%2018:28:21%20GMT	https://fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ09PdVXQQ.woff2	./wearestokt-mirror/fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ09PdVXQQ.woff2	(from https://wearestokt.com/)
13:36:53	10896/10896	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Sep%202025%2018:35:49%20GMT	https://fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ093dVQ.woff2	./wearestokt-mirror/fonts.gstatic.com/s/notosansmono/v37/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ093dVQ.woff2	(from https://wearestokt.com/)
13:36:53	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:36:53%20GMT	https://fonts.gstatic.com/	./wearestokt-mirror/fonts.gstatic.com/index.html	(from https://wearestokt.com/)
